name	HexA	HexN	DP	Ac	S	formula	neutral_mass	floating_Na	floating_NH3
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2258.368595	0	2
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2275.395145	0	3
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2292.421694	0	4
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2309.448243	0	5
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2326.474792	0	6
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2343.501341	0	7
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2360.527890	0	8
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2377.554439	0	9
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2394.580988	0	10
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2246.297442	1	0
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2263.323991	1	1
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2280.350540	1	2
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2297.377089	1	3
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2314.403638	1	4
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2331.430187	1	5
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2348.456736	1	6
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2365.483285	1	7
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2382.509834	1	8
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2399.536383	1	9
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2268.279386	2	0
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2285.305935	2	1
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2302.332484	2	2
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2319.359033	2	3
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2336.385582	2	4
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2353.412131	2	5
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2370.438680	2	6
