name	HexA	HexN	DP	Ac	S	formula	neutral_mass	floating_NH3
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2823.242231	7
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2840.268780	8
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2857.295329	9
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2874.321878	10
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2891.348428	11
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2908.374977	12
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2925.401526	13
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2942.428075	14
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2959.454624	15
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2976.481173	16
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2784.013202	0
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2801.039752	1
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2818.066301	2
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2835.092850	3
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2852.119399	4
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2869.145948	5
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2886.172497	6
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2903.199046	7
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2920.225595	8
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2937.252144	9
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2954.278693	10
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2971.305243	11
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	2988.331792	12
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	3005.358341	13
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	3022.384890	14
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	3039.411439	15
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	3056.437988	16
HS_HexA5_HexN5_Ac0_S12_pNP	5	5	10	0	12	C66H100N6O89S12	3073.464537	17
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	2863.970018	0
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	2880.996567	1
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	2898.023116	2
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	2915.049665	3
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	2932.076214	4
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	2949.102763	5
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	2966.129312	6
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	2983.155861	7
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	3000.182410	8
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	3017.208959	9
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	3034.235509	10
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	3051.262058	11
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	3068.288607	12
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	3085.315156	13
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	3102.341705	14
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	3119.368254	15
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	3136.394803	16
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	3153.421352	17
HS_HexA5_HexN5_Ac0_S13_pNP	5	5	10	0	13	C66H100N6O92S13	3170.447901	18
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	2943.926833	0
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	2960.953382	1
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	2977.979931	2
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	2995.006480	3
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3012.033029	4
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3029.059578	5
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3046.086127	6
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3063.112676	7
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3080.139225	8
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3097.165774	9
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3114.192324	10
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3131.218873	11
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3148.245422	12
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3165.271971	13
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3182.298520	14
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3199.325069	15
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3216.351618	16
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3233.378167	17
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3250.404716	18
HS_HexA5_HexN5_Ac0_S14_pNP	5	5	10	0	14	C66H100N6O95S14	3267.431265	19
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3023.883648	0
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3040.910197	1
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3057.936746	2
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3074.963295	3
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3091.989844	4
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3109.016393	5
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3126.042942	6
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3143.069491	7
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3160.096040	8
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3177.122589	9
HS_HexA5_HexN5_Ac0_S15_pNP	5	5	10	0	15	C66H100N6O98S15	3194.149139	10
